Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Bunga Matahari,5.8658095,118.0758739,Sunflower Mini Market Taman Bunga Matahari,5.865543649432898,118.07603402305207,Convenience Store
Bunga Matahari,5.8658095,118.0758739,Starwood Hotels & Resorts,5.866184711607393,118.07538238007264,Hotel
Bunga Matahari,5.8658095,118.0758739,Lee Yuan Chinese Restaurant,5.86425261091701,118.07396476244466,Chinese Restaurant
Bunga Matahari,5.8658095,118.0758739,Taman Tinosan,5.8626025752419055,118.07367895105509,Other Great Outdoors
Bunga Matahari,5.8658095,118.0758739,"WHITE HORSE CERAMIC, Bdr. Kim Fung, Sandakan, Sabah",5.870098060345609,118.07562817551516,Furniture / Home Store
Bunga Matahari,5.8658095,118.0758739,Lubuk,5.8701084691995895,118.07557101381501,Outdoors & Recreation
Damai & Sri Taman,5.8584821,118.0789209,Servay Supermarket,5.858409047978694,118.07829519942942,Grocery Store
Damai & Sri Taman,5.8584821,118.0789209,Bandar Kim Fung 金凤市,5.8564919145183705,118.07833190270678,Town
Damai & Sri Taman,5.8584821,118.0789209,双日Kopitiam茶餐室,5.856717375387416,118.07753459079753,Deli / Bodega
Damai & Sri Taman,5.8584821,118.0789209,Novelty Cafe & Cake House,5.857198393539865,118.07949876940992,Bakery
Damai & Sri Taman,5.8584821,118.0789209,Livingstone Hotel,5.857343576387784,118.08183584248968,Hotel
Damai & Sri Taman,5.8584821,118.0789209,Faces Nasi Kuning Ayam,5.858331049912104,118.08079458591145,Wings Joint
Damai & Sri Taman,5.8584821,118.0789209,Tien Kee Restaurant 田記港式燒腊,5.856493228340608,118.079024817386,BBQ Joint
Damai & Sri Taman,5.8584821,118.0789209,Kim Fung Market,5.857622056473892,118.07915894623852,Food Court
Damai & Sri Taman,5.8584821,118.0789209,Digital Wise Sdn Bhd,5.857667795537405,118.08030224600097,Electronics Store
Damai & Sri Taman,5.8584821,118.0789209,Kedai Makan Syn Nam Choon Restaurant (2) 新南村雞魚小食店 (2),5.857651843327833,118.0800895004813,Asian Restaurant
Damai & Sri Taman,5.8584821,118.0789209,7 Eleven,5.857464381762413,118.07911500408532,Convenience Store
Damai & Sri Taman,5.8584821,118.0789209,三點三茶餐厅 Kedai Kopi Kong Fei,5.857155020453762,118.0801850445012,Deli / Bodega
Damai & Sri Taman,5.8584821,118.0789209,2020 Restaurant,5.8562275295791855,118.07787038479084,Chinese Restaurant
Damai & Sri Taman,5.8584821,118.0789209,KFC 肯德基,5.8576989676046995,118.07873727955712,Fast Food Restaurant
Damai & Sri Taman,5.8584821,118.0789209,Pizza Hut,5.85599103511194,118.07885599894934,Pizza Place
Evergreen,5.8734638,118.0578338,Sandakan Golf & Country Club,5.872148084335089,118.0545614729422,Golf Course
Evergreen,5.8734638,118.0578338,SGCC Gym & Fitness Centre,5.872098944703084,118.05460856702423,Gym
Evergreen,5.8734638,118.0578338,Sandakan Golf And Country Club,5.877884632406655,118.05805007789658,Golf Course
Garden Villa,5.8632801,118.0489446,"New Ocean King Seafood, IJM, Batu 5",5.864865837826534,118.05172415933583,Seafood Restaurant
Garden Villa,5.8632801,118.0489446,Kedai Kopi Khiaw Lok 橋樂茶宝,5.864639878426278,118.05307135260489,Chinese Restaurant
Garden Villa,5.8632801,118.0489446,Crowd 99 Cafe,5.8646733199068475,118.0524018333058,Café
Garden Villa,5.8632801,118.0489446,Up Case Café,5.865119252824481,118.05193703377599,Café
Garden Villa,5.8632801,118.0489446,Baker Field,5.864836435727115,118.05302954715572,Café
Garden Villa,5.8632801,118.0489446,The Sunset Beer Garden,5.860161091043179,118.05131042498597,Beer Garden
Garden Villa,5.8632801,118.0489446,Nasi Kandar anak mami,5.863824334586805,118.05215945933107,Indian Restaurant
Garden Villa,5.8632801,118.0489446,Framelicious Studio,5.8621096236425965,118.05248592101096,Photography Studio
Garden Villa,5.8632801,118.0489446,IJM Rugby Club,5.860679647704648,118.05168986320496,Football Stadium
Garden Villa,5.8632801,118.0489446,家乡牛杂,5.8646787083179746,118.05259209355148,Hakka Restaurant
Garden Villa,5.8632801,118.0489446,light & town,5.8653584,118.05243,Café
Garden Villa,5.8632801,118.0489446,Restoran TTY 為食家,5.864197187704134,118.05292468568743,Chinese Restaurant
Garden Villa,5.8632801,118.0489446,名人饭堂 Open Rice Cuisine,5.864359738342696,118.0528992202138,Chinese Restaurant
Garden Villa,5.8632801,118.0489446,STAY cafe,5.865107127299709,118.05275058059081,Café
Garden Villa,5.8632801,118.0489446,ikan bakar sederhana 2,5.864028,118.053217,Halal Restaurant
Indah,5.8420670999999995,118.06609499999999,Indah Jaya Recreational Club,5.842595274213003,118.068522833856,Recreation Center
Indah,5.8420670999999995,118.06609499999999,Happy Mart,5.8428602343216625,118.06721878206923,Department Store
Indah,5.8420670999999995,118.06609499999999,Indah Park,5.843113,118.066798,Baseball Stadium
Indah,5.8420670999999995,118.06609499999999,Kedai Kopi Indah,5.842939,118.067024,Coffee Shop
Indah,5.8420670999999995,118.06609499999999,成明點心燒臘店,5.8427196,118.06708,Dim Sum Restaurant
Indah,5.8420670999999995,118.06609499999999,Fook Mui Corner 福味小食,5.843833456506586,118.06650239245891,Noodle House
Indah,5.8420670999999995,118.06609499999999,Indah Jaya Recreational Club Gymnasium,5.842735913141499,118.06863144542088,Athletics & Sports
Indah,5.8420670999999995,118.06609499999999,Tomato Steamboat & Grill,5.842560306188936,118.06871719134581,Asian Restaurant
Indah,5.8420670999999995,118.06609499999999,Sandakan Paintball,5.843510929361329,118.0688722484356,Athletics & Sports
Indah,5.8420670999999995,118.06609499999999,Anjung Sukau Baru,5.845033684574484,118.06745386382681,Food Truck
Indah Jaya,5.843796,118.06720049999998,Indah Jaya Recreational Club,5.842595274213003,118.068522833856,Recreation Center
Indah Jaya,5.843796,118.06720049999998,Happy Mart,5.8428602343216625,118.06721878206923,Department Store
Indah Jaya,5.843796,118.06720049999998,Restoran Makanan Laut Riang Ria 新佳乐海鲜楼,5.843362829849289,118.06655466556549,Chinese Restaurant
Indah Jaya,5.843796,118.06720049999998,Anjung Sukau Baru,5.845033684574484,118.06745386382681,Food Truck
Indah Jaya,5.843796,118.06720049999998,Fresh Market - 日日鲜蔬果鱼市场,5.842627248140809,118.06730523646395,Grocery Store
Indah Jaya,5.843796,118.06720049999998,Kedai Kopi Indah,5.842939,118.067024,Coffee Shop
Indah Jaya,5.843796,118.06720049999998,Tomato Steamboat & Grill,5.842560306188936,118.06871719134581,Asian Restaurant
Lucky & Wemin,5.8631125,118.0627675,Sandakan Rain Forest Park,5.8623,118.0629,Park
Lucky & Wemin,5.8631125,118.0627675,Leng Yun Restaurant,5.865099026000925,118.0596164576153,Chinese Restaurant
Lucky & Wemin,5.8631125,118.0627675,SMANS Embroidery,5.865843373738853,118.06603618233426,Clothing Store
Mesra,5.8612709,118.07766389999999,Servay Supermarket,5.858409047978694,118.07829519942942,Grocery Store
Mesra,5.8612709,118.07766389999999,Novelty Cafe & Cake House,5.857198393539865,118.07949876940992,Bakery
Mesra,5.8612709,118.07766389999999,Faces Nasi Kuning Ayam,5.858331049912104,118.08079458591145,Wings Joint
Mesra,5.8612709,118.07766389999999,Kim Fung Market,5.857622056473892,118.07915894623852,Food Court
Mesra,5.8612709,118.07766389999999,Digital Wise Sdn Bhd,5.857667795537405,118.08030224600097,Electronics Store
Mesra,5.8612709,118.07766389999999,Kedai Makan Syn Nam Choon Restaurant (2) 新南村雞魚小食店 (2),5.857651843327833,118.0800895004813,Asian Restaurant
Mesra,5.8612709,118.07766389999999,7 Eleven,5.857464381762413,118.07911500408532,Convenience Store
Mesra,5.8612709,118.07766389999999,KFC 肯德基,5.8576989676046995,118.07873727955712,Fast Food Restaurant
Mesra,5.8612709,118.07766389999999,Servay Mile 4,5.8599606766813315,118.0794983366523,Department Store
Mesra,5.8612709,118.07766389999999,Watson Kim Fung,5.8579139543711,118.07868740703778,Convenience Store
Mesra,5.8612709,118.07766389999999,Santino's Pizza,5.858846493695222,118.07388077542237,Pizza Place
Mesra,5.8612709,118.07766389999999,Sun Tai Chung Supermarket (S) Sdn. Bhd.,5.857285027932093,118.07952932688701,Fruit & Vegetable Store
Mesra,5.8612709,118.07766389999999,Taman Tinosan,5.8626025752419055,118.07367895105509,Other Great Outdoors
Mesra,5.8612709,118.07766389999999,mc.com,5.858658068355378,118.074274496765,Electronics Store
Mesra,5.8612709,118.07766389999999,Restoran Modern Family,5.858700043223923,118.07446357575697,Malay Restaurant
Pertama,5.8613392,118.06927649999999,MyMee - 我的面,5.858350783685141,118.06602156424262,Noodle House
Pertama,5.8613392,118.06927649999999,Taman Tshun Ngen Restaurant Guan Huat,5.858526,118.066001,Chinese Restaurant
Pertama,5.8613392,118.06927649999999,Kedai Makanan Kim Boo MyMee 我的面,5.858421344748281,118.06596186807026,Chinese Restaurant
Pertama,5.8613392,118.06927649999999,Restaurant XO,5.863382844503166,118.06530447129245,American Restaurant
Tinosan,5.8610315,118.0745175,Brew Cottage,5.857391373958105,118.07408997489368,Café
Tinosan,5.8610315,118.0745175,Hotel D' North Star,5.856912059643684,118.07287173551364,Bed & Breakfast
Tinosan,5.8610315,118.0745175,7 Eleven,5.857466423571011,118.07334169301815,Convenience Store
Tinosan,5.8610315,118.0745175,Santino's Pizza,5.858846493695222,118.07388077542237,Pizza Place
Tinosan,5.8610315,118.0745175,Lucky Bread,5.858966949890344,118.0739361813266,Bakery
Tinosan,5.8610315,118.0745175,Dragon Restaurant 良记鱼旦,5.8569007,118.07341,Noodle House
Tinosan,5.8610315,118.0745175,Restoran Modern Family,5.858700043223923,118.07446357575697,Malay Restaurant
Tinosan,5.8610315,118.0745175,Cielo Blu Tasty Recipe,5.856815155994439,118.0740848030898,Diner
Tinosan,5.8610315,118.0745175,Tac de Cafe 亚弟牛屎塔,5.85756907267741,118.07370036352177,Bakery
Tinosan,5.8610315,118.0745175,KDH Vitamin & Organic Shop,5.857605128863472,118.07370181598336,Pharmacy
Tinosan,5.8610315,118.0745175,1 nation restaurant,5.8576402938274335,118.0733999189058,Chinese Restaurant
Tinosan,5.8610315,118.0745175,Trinity Arts & Music Academy,5.85664130398665,118.0746445715684,Music Venue
Tinosan,5.8610315,118.0745175,Nurshinie Curry House,5.857267391953777,118.0750268867324,Indian Restaurant
Tshun Ngen,5.85872755,118.0658041,MyMee - 我的面,5.858350783685141,118.06602156424262,Noodle House
Tshun Ngen,5.85872755,118.0658041,Annie's Cooking Studio,5.858567927238888,118.0660104112973,Grocery Store
Tshun Ngen,5.85872755,118.0658041,Foodmart,5.8600655,118.06612,Fruit & Vegetable Store
Tshun Ngen,5.85872755,118.0658041,Ikan Bakar Esso,5.858763217926025,118.06637573242188,Fish & Chips Shop
Tshun Ngen,5.85872755,118.0658041,Cafeteria Guan Huat,5.858504,118.066122,Vegetarian / Vegan Restaurant
Tshun Ngen,5.85872755,118.0658041,源发茶餐室,5.858578539694202,118.06638488730808,Asian Restaurant
Tshun Ngen,5.85872755,118.0658041,Tai Lou Restaurant,5.858214391421392,118.06768281527626,Chinese Restaurant
Tshun Ngen,5.85872755,118.0658041,Ikan Bakar Samudera,5.861128834193964,118.06457275721101,Food Truck
Tyng,5.8676695,118.0599967,Ice City Drink House 冰城冰果屋,5.867955788562194,118.05933495207253,Cupcake Shop
Tyng,5.8676695,118.0599967,Moon n Star 生肉面,5.867018818431179,118.058929541951,Noodle House
Tyng,5.8676695,118.0599967,Edo Ichi 江户一日本料理,5.867432208853102,118.05858441233319,Sushi Restaurant
Tyng,5.8676695,118.0599967,Restaurant Sri Mersing,5.866143414490991,118.05641965618753,Restaurant
Tyng,5.8676695,118.0599967,fresh & frozen market,5.866783153553276,118.0596050242371,Market
Tyng,5.8676695,118.0599967,叶贵凉粉,5.867613538782667,118.06090825001382,Asian Restaurant
Tyng,5.8676695,118.0599967,After Taste Restaurant,5.867637359297495,118.06086950738333,Chinese Restaurant
Tyng,5.8676695,118.0599967,Yusirina Cafeteria,5.867619936825117,118.06087504892783,Asian Restaurant
Tyng,5.8676695,118.0599967,Labuk Tyng Restaurant,5.867792412455187,118.06078265829505,Asian Restaurant
Tyng,5.8676695,118.0599967,Kedai Kopi Kim Lok - 金乐小食店,5.86760728007909,118.06088974088905,Noodle House
Tyng,5.8676695,118.0599967,Sing Yi Food Centre,5.8675988642092625,118.06090089833425,Asian Restaurant
Tyng,5.8676695,118.0599967,老婆面包,5.86757,118.058885,Bakery
Tyng,5.8676695,118.0599967,The Fresh Meat Shop (non halal),5.866112298365864,118.06022242559806,Butcher
Tyng,5.8676695,118.0599967,Mr Bun 好運食店,5.867681745242756,118.0608354223009,Bakery
Tyng,5.8676695,118.0599967,Old City,5.865346581988839,118.0579070301441,Café
Utama,5.864600599999999,118.05856909999999,Moon n Star 生肉面,5.867018818431179,118.058929541951,Noodle House
Utama,5.864600599999999,118.05856909999999,Ice City Drink House 冰城冰果屋,5.867955788562194,118.05933495207253,Cupcake Shop
Utama,5.864600599999999,118.05856909999999,Kedai Makanan Dan Minuman KIM HOU 金豪美食館,5.864995236769388,118.05611235836403,Chinese Restaurant
Utama,5.864600599999999,118.05856909999999,Edo Ichi 江户一日本料理,5.867432208853102,118.05858441233319,Sushi Restaurant
Utama,5.864600599999999,118.05856909999999,McDonald's & McCafé,5.863776937305123,118.0560929570742,Fast Food Restaurant
Utama,5.864600599999999,118.05856909999999,Good Taste Restaurant 美囗福飯店,5.864632969098009,118.0556953290256,Chinese Restaurant
Utama,5.864600599999999,118.05856909999999,Mother's Cook & Catering,5.8654627342290455,118.0559163138638,Indonesian Restaurant
Utama,5.864600599999999,118.05856909999999,Restaurant Sri Mersing,5.866143414490991,118.05641965618753,Restaurant
Utama,5.864600599999999,118.05856909999999,Old City,5.865346581988839,118.0579070301441,Café
Utama,5.864600599999999,118.05856909999999,Dania Kopitiam,5.865075772099242,118.05753763832234,Malay Restaurant
Utama,5.864600599999999,118.05856909999999,Starbucks Drive Thru,5.86555,118.0572,Coffee Shop
Utama,5.864600599999999,118.05856909999999,Tonic,5.865480488261287,118.0584902663036,Lounge
Utama,5.864600599999999,118.05856909999999,Restoran Sri Nabawan 2,5.864719,118.056524,Malay Restaurant
Utama,5.864600599999999,118.05856909999999,Giant Hypermarket,5.86664834229597,118.05749038531427,Department Store
Utama,5.864600599999999,118.05856909999999,Kedai Kopi Pin Wei 家傳正宗炸肉大粉,5.864731934142432,118.05554713696283,Chinese Restaurant
